Model,SKU,Name,Brand,Url,Size,Processor Type,Processor,Price,Memory(GB),Storage,Color,Review Numbers,Average Ranking
I7386-7007BLK-PUS ,6295917 ,"Inspiron 2-in-1 13.3"" 4K Ultra HD Touch-Screen Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-2-in-1-13-3-4k-ultra-hd-touch-screen-laptop-intel-core-i7-16gb-memory-256gb-ssd-black/6295917.p?skuId=6295917,13.3,Intel,Intel Core i7,959.99,16,256GB SSD,Black,276,4.3
E5450.I5.8.500.PRO ,6318282 ,"Latitude 14"" Refurbished Laptop",Dell,https://www.bestbuy.com/site/dell-latitude-14-refurbished-laptop-intel-core-i5-8gb-memory-500gb-hard-drive-black/6318282.p?skuId=6318282,14,Intel,Intel Core i5,286.99,8,500GB Hard Drive,Black,5,3.8
I7375-A446GRY-PUS ,6212813 ,"2-in-1 13.3"" Touch-Screen Laptop",Dell,https://www.bestbuy.com/site/dell-2-in-1-13-3-touch-screen-laptop-amd-ryzen-7-12gb-memory-amd-radeon-rx-vega-10-256gb-solid-state-drive-era-gray/6212813.p?skuId=6212813,13.3,AMD,AMD Radeon RX Vega 10,759.99,AMD Radeon RX Vega 10,256GB Solid State Drive,Era Gray,230,4.0
I5584-7063SLV-PUS ,6346468 ,"Inspiron 15.6"" Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-15-6-laptop-intel-core-i7-8gb-memory-1tb-hard-drive-128gb-solid-state-drive-silver/6346468.p?skuId=6346468,15.6,Intel,Intel Core i7,769.99,8,1TB Hard Drive + 128GB Solid State Drive,Silver,11,3.9
I5584-5868SLV-PUS ,6347444 ,"Inspiron 15.6"" Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-15-6-laptop-intel-core-i5-8gb-memory-256gb-solid-state-drive-silver/6347444.p?skuId=6347444,15.6,Intel,Intel Core i5,639.99,8,256GB Solid State Drive,Silver,7,4.4
G7590-7367GRY-PUS ,6355502 ,"G7 15.6"" Gaming Laptop",Dell,https://www.bestbuy.com/site/dell-g7-15-6-gaming-laptop-intel-core-i7-16gb-memory-nvidia-geforce-rtx-2070-512gb-solid-state-drive-abyss-gray/6355502.p?skuId=6355502,15.6,Intel,Intel Core i7,1749.99,NVIDIA GeForce RTX 2070,512GB Solid State Drive,Abyss Gray,1,5.0
I5593-7145SLV-PUS ,6381716 ,"Inspiron 15.6"" Touch-Screen Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-15-6-touch-screen-laptop-intel-core-i7-16gb-memory-512gb-ssd-silver/6381716.p?skuId=6381716,15.6,Intel,Intel Core i7,959.99,16,512GB SSD,Silver,470,0
XPS7390-7893SLV-PUS ,6379243 ,"XPS 2-in-1 13.4"" Touch-Screen Laptop",Dell,https://www.bestbuy.com/site/dell-xps-2-in-1-13-4-touch-screen-laptop-intel-core-i7-8gb-memory-256gb-solid-state-drive-platinum-silver-with-black-interior/6379243.p?skuId=6379243,13.4,Intel,Intel Core i7,1299.99,8,256GB Solid State Drive,Platinum Silver With Black Interior,2,5.0
I5491-7272SLV-PUS ,6377548 ,"Inspiron 2-in-1 14"" Touch-Screen Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-2-in-1-14-touch-screen-laptop-intel-core-i7-8gb-memory-256gb-solid-state-drive-silver/6377548.p?skuId=6377548,14,Intel,Intel Core i7,749.99,8,256GB Solid State Drive,Silver,4021,0
I7590-7858BLK-PUS ,6381715 ,"Inspiron 15.6"" Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-15-6-laptop-intel-core-i7-16gb-memory-nvidia-geforce-gtx-1050-512gb-ssd-abyss-black/6381715.p?skuId=6381715,15.6,Intel,Intel Core i7,1369.99,NVIDIA GeForce GTX 1050,512GB SSD,Abyss Black,470,0
